w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
200,400,200,400,,,,,,,,,0
192,400,208,400,,,,,,,,,0
184,400,216,400,,,,,,,,,0
176,400,224,400,,,,,,,,,0
168,400,232,400,,,,,,,,,0
160,400,240,400,,,,,,,,,0
152,400,248,400,,,,,,,,,0
144,400,256,400,,,,,,,,,0
136,400,264,400,,,,,,,,,0
128,400,272,400,,,,,,,,,0
120,400,280,400,,,,,,,,,0
112,400,288,400,,,,,,,,,0
104,400,296,400,,,,,,,,,0
96,400,304,400,,,,,,,,,0
88,400,312,400,,,,,,,,,0
80,400,320,400,,,,,,,,,0
72,400,328,400,,,,,,,,,0
64,400,336,400,,,,,,,,,0
56,400,344,400,,,,,,,,,0
48,400,352,400,0.0,1.0,0.0,0.0,,,,,1
48,392,352,408,0.0,1.0,0.0,0.0,,,,,1
48,384,352,416,0.0,1.0,0.0,0.0,,,,,1
48,376,352,424,0.0,1.0,0.0,0.0,,,,,1
48,368,352,432,0.0,1.0,0.0,0.0,,,,,1
48,360,352,440,0.0,1.0,0.0,0.0,,,,,1
48,352,352,448,0.0,1.0,0.0,0.0,,,,,1
48,344,352,456,0.0,1.0,0.0,0.0,,,,,1
48,336,352,464,0.0,1.0,0.0,0.0,,,,,1
48,328,352,472,0.0,1.0,0.0,0.0,,,,,1
48,320,352,480,0.0,1.0,0.0,0.0,,,,,1
48,312,352,488,0.0,1.0,0.0,0.0,,,,,1
48,304,352,496,0.0,1.0,0.0,0.0,,,,,1
48,296,352,504,0.0,1.0,0.0,0.0,,,,,1
48,288,352,512,0.0,1.0,0.0,0.0,,,,,1
48,280,352,520,0.0,1.0,0.0,0.0,,,,,1
48,272,352,528,0.0,1.0,0.0,0.0,,,,,1
48,264,352,536,0.0,1.0,0.0,0.0,,,,,1
48,256,352,544,0.0,1.0,0.0,0.0,,,,,1
48,248,352,552,0.0,1.0,0.0,0.0,,,,,1
48,240,352,560,0.0,1.0,0.0,0.0,,,,,1
48,232,352,568,0.0,1.0,0.0,0.0,,,,,1
48,224,352,576,0.0,1.0,0.0,0.0,,,,,1
48,216,352,584,0.0,1.0,0.0,0.0,,,,,1
48,208,352,592,0.0,1.0,0.0,0.0,,,,,1
48,200,352,600,0.0,1.0,0.0,0.0,,,,,1
48,192,352,608,0.0,1.0,0.0,0.0,,,,,1
48,184,352,616,0.0,1.0,0.0,0.0,,,,,1
48,176,352,624,0.0,1.0,0.0,0.0,,,,,1
48,168,352,632,0.0,1.0,0.0,0.0,,,,,1
48,160,352,640,0.0,1.0,0.0,0.0,,,,,1
48,152,352,648,0.0,1.0,0.0,0.0,,,,,1
48,144,352,656,0.0,1.0,0.0,0.0,,,,,1
48,136,352,664,,,,,,,,,2
56,136,344,664,,,,,1.0,0.0,0.0,0.0,2
64,136,336,664,,,,,1.0,0.0,0.0,0.0,2
72,136,328,664,,,,,1.0,0.0,0.0,0.0,2
80,136,320,664,,,,,1.0,0.0,0.0,0.0,2
88,136,312,664,,,,,1.0,0.0,0.0,0.0,2
96,136,304,664,,,,,1.0,0.0,0.0,0.0,2
104,136,296,664,,,,,1.0,0.0,0.0,0.0,2
112,136,288,664,,,,,1.0,0.0,0.0,0.0,2
120,136,280,664,,,,,1.0,0.0,0.0,0.0,2
128,136,272,664,,,,,1.0,0.0,0.0,0.0,2
136,136,264,664,,,,,1.0,0.0,0.0,0.0,2
144,136,256,664,,,,,1.0,0.0,0.0,0.0,2
152,136,248,664,,,,,1.0,0.0,0.0,0.0,2
160,136,240,664,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3
160,144,240,656,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,152,240,648,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,160,240,640,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,168,240,632,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,176,240,624,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,184,240,616,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,192,240,608,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,200,240,600,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,208,240,592,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,216,240,584,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,224,240,576,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,232,240,568,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,240,240,560,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,248,240,552,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,256,240,544,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,264,240,536,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,272,240,528,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,280,240,520,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,288,240,512,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,296,240,504,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,304,240,496,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,312,240,488,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,320,240,480,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,328,240,472,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,336,240,464,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,344,240,456,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,352,240,448,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,360,240,440,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,368,240,432,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,376,240,424,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,384,240,416,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,392,240,408,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,400,240,400,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,408,240,392,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,416,240,384,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,424,240,376,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,432,240,368,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,440,240,360,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,448,240,352,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,456,240,344,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,464,240,336,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,472,240,328,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,480,240,320,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,488,240,312,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,496,240,304,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,504,240,296,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,512,240,288,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,520,240,280,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,528,240,272,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,536,240,264,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,544,240,256,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,552,240,248,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,560,240,240,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,568,240,232,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,576,240,224,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,584,240,216,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,592,240,208,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,600,240,200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,608,240,192,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,616,240,184,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,624,240,176,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,632,240,168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,640,240,160,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,648,240,152,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,656,240,144,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,664,240,136,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,672,240,128,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,680,240,120,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,688,240,112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,696,240,104,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,704,240,96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,712,240,88,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,720,240,80,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,728,240,72,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
160,736,240,64,,,,,0.0,1.0,0.0,0.0,0
152,736,248,64,,,,,0.0,0.0,1.0,0.0,0
144,736,256,64,,,,,0.0,0.0,1.0,0.0,0
136,736,264,64,,,,,0.0,0.0,1.0,0.0,0
128,736,272,64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
128,728,272,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,720,272,80,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,712,272,88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,704,272,96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,696,272,104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
